bucket,sex,race,overall,position,letter,count
85+,f,UNKRACE,0,2,E,272080
85+,f,UNKRACE,0,2,R,471497
85+,f,UNKRACE,0,2,X,20822
85+,f,UNKRACE,0,2,C,90548
85+,f,UNKRACE,0,2,D,86895
85+,f,UNKRACE,0,2,S,49236
85+,f,UNKRACE,0,2,U,11719
85+,f,UNKRACE,0,2,T,21434
85+,f,UNKRACE,0,2,F,19853
85+,f,UNKRACE,0,2,P,585
85+,f,UNKRACE,0,2,A,544
85+,f,UNKRACE,0,2,H,522
85+,f,UNKRACE,0,3,E,169984
85+,f,UNKRACE,0,3,B,273546
85+,f,UNKRACE,0,3,N,291161
85+,f,UNKRACE,0,3,D,46252
85+,f,UNKRACE,0,3,T,26802
85+,f,UNKRACE,0,3,R,155297
85+,f,UNKRACE,0,3,C,50293
85+,f,UNKRACE,0,3,X,9476
85+,f,UNKRACE,0,3,U,22319
85+,f,UNKRACE,0,3,S,20721
85+,f,UNKRACE,0,3,A,440
85+,f,UNKRACE,0,3,P,460
85+,f,UNKRACE,0,3,H,106
85+,f,UNKRACE,0,3,F,18375
85+,f,UNKRACE,0,4,U,23426
85+,f,UNKRACE,0,4,E,49865
85+,f,UNKRACE,0,4,B,49943
85+,f,UNKRACE,0,4,R,32663
85+,f,UNKRACE,0,4,T,8961
85+,f,UNKRACE,0,4,X,4366
85+,f,UNKRACE,0,4,F,12776
85+,f,UNKRACE,0,4,C,16348
85+,f,UNKRACE,0,4,N,51866
85+,f,UNKRACE,0,4,D,18430
85+,f,UNKRACE,0,4,S,6868
85+,f,UNKRACE,0,4,P,243
85+,f,UNKRACE,0,4,A,222
85+,f,UNKRACE,0,4,H,56
85+,f,UNKRACE,0,5,B,8776
85+,f,UNKRACE,0,5,R,4957
85+,f,UNKRACE,0,5,U,10545
85+,f,UNKRACE,0,5,D,4142
85+,f,UNKRACE,0,5,S,1608
85+,f,UNKRACE,0,5,F,4447
85+,f,UNKRACE,0,5,N,8185
85+,f,UNKRACE,0,5,E,8303
85+,f,UNKRACE,0,5,C,3223
85+,f,UNKRACE,0,5,X,1737
85+,f,UNKRACE,0,5,T,1716
85+,f,UNKRACE,0,5,P,76
85+,f,UNKRACE,0,5,A,85
85+,f,UNKRACE,0,5,H,20
85+,f,UNKRACE,0,6,E,1588
85+,f,UNKRACE,0,6,U,2433
85+,f,UNKRACE,0,6,B,1351
85+,f,UNKRACE,0,6,C,529
85+,f,UNKRACE,0,6,N,1103
85+,f,UNKRACE,0,6,X,387
85+,f,UNKRACE,0,6,S,284
85+,f,UNKRACE,0,6,T,284
85+,f,UNKRACE,0,6,R,608
85+,f,UNKRACE,0,6,F,964
85+,f,UNKRACE,0,6,D,696
85+,f,UNKRACE,0,6,P,20
85+,f,UNKRACE,0,6,A,14
85+,f,UNKRACE,0,6,H,5
85+,f,UNKRACE,0,7,C,101
85+,f,UNKRACE,0,7,U,331
85+,f,UNKRACE,0,7,N,138
85+,f,UNKRACE,0,7,F,176
85+,f,UNKRACE,0,7,T,33
85+,f,UNKRACE,0,7,D,100
85+,f,UNKRACE,0,7,B,129
85+,f,UNKRACE,0,7,R,67
85+,f,UNKRACE,0,7,S,49
85+,f,UNKRACE,0,7,E,183
85+,f,UNKRACE,0,7,X,58
85+,f,UNKRACE,0,7,A,4
85+,f,UNKRACE,0,7,H,1
85+,f,UNKRACE,0,7,P,1
85+,f,UNKRACE,0,8,E,20
85+,f,UNKRACE,0,8,U,36
85+,f,UNKRACE,0,8,S,5
85+,f,UNKRACE,0,8,F,24
85+,f,UNKRACE,0,8,B,9
85+,f,UNKRACE,0,8,X,7
85+,f,UNKRACE,0,8,C,12
85+,f,UNKRACE,0,8,N,6
85+,f,UNKRACE,0,8,D,14
85+,f,UNKRACE,0,8,T,3
85+,f,UNKRACE,0,8,R,3
85+,f,UNKRACE,0,8,P,1
55-64,f,UNKRACE,0,1,C,436744
55-64,f,UNKRACE,0,1,N,169172
55-64,f,UNKRACE,0,1,E,53369
55-64,f,UNKRACE,0,1,B,275662
55-64,f,UNKRACE,0,1,S,14078
55-64,f,UNKRACE,0,1,R,106108
55-64,f,UNKRACE,0,1,D,44323
55-64,f,UNKRACE,0,1,T,18082
55-64,f,UNKRACE,0,1,A,13531
55-64,f,UNKRACE,0,1,U,6154
55-64,f,UNKRACE,0,1,P,18194
