scheme,bucket,sex,race,letter,weight
2,55-64,f,UNKRACE,T,19279.08472222189
2,55-64,f,UNKRACE,X,4090.566269841078
2,55-64,f,UNKRACE,U,7046.642857143645
2,55-64,f,UNKRACE,P,15485.424404761672
2,55-64,f,UNKRACE,F,2180.826984126998
2,UNDER65,f,UNKRACE,C,643302.1077380467
2,UNDER65,f,UNKRACE,N,456108.143056119
2,UNDER65,f,UNKRACE,E,126928.99186520503
2,UNDER65,f,UNKRACE,T,113711.57996035501
2,UNDER65,f,UNKRACE,U,21979.17142857286
2,UNDER65,f,UNKRACE,X,15999.66448412566
2,UNDER65,f,UNKRACE,B,501066.18234183424
2,UNDER65,f,UNKRACE,A,36535.53988095371
2,UNDER65,f,UNKRACE,R,205035.96924588337
2,UNDER65,f,UNKRACE,S,65059.33710316929
2,UNDER65,f,UNKRACE,D,99810.91210321391
2,UNDER65,f,UNKRACE,H,12931.797023809397
2,UNDER65,f,UNKRACE,P,108377.57202381855
2,UNDER65,f,UNKRACE,F,4295.031746031634
3,55-64,f,UNKRACE,C,352720.53333320003
3,55-64,f,UNKRACE,N,223812.00158783532
3,55-64,f,UNKRACE,E,72099.69920636888
3,55-64,f,UNKRACE,B,274719.6492068506
3,55-64,f,UNKRACE,S,10674.009523809853
3,55-64,f,UNKRACE,H,1163.0166666666735
3,55-64,f,UNKRACE,R,118933.72182520895
3,55-64,f,UNKRACE,A,10565.605158730674
3,55-64,f,UNKRACE,D,48132.30634921761
3,55-64,f,UNKRACE,T,19671.976587303885
3,55-64,f,UNKRACE,X,4025.788492063506
3,55-64,f,UNKRACE,U,7562.378571427223
3,55-64,f,UNKRACE,P,14911.659920636183
3,55-64,f,UNKRACE,F,2141.6535714285587
3,UNDER65,f,UNKRACE,C,627563.7468253938
3,UNDER65,f,UNKRACE,N,463791.57658553496
3,UNDER65,f,UNKRACE,E,131831.6956346241
3,UNDER65,f,UNKRACE,T,114837.7492062601
3,UNDER65,f,UNKRACE,U,22833.46944444532
3,UNDER65,f,UNKRACE,X,15946.956349210586
3,UNDER65,f,UNKRACE,B,503013.38968077314
3,UNDER65,f,UNKRACE,A,35499.58492062859
3,UNDER65,f,UNKRACE,R,209095.18968304084
3,UNDER65,f,UNKRACE,S,62645.21428573489
3,UNDER65,f,UNKRACE,D,100898.64206338301
3,UNDER65,f,UNKRACE,H,13619.726587304189
3,UNDER65,f,UNKRACE,P,105361.6567459893
3,UNDER65,f,UNKRACE,F,4203.401984127012
4,55-64,f,UNKRACE,C,353803.63322051545
4,55-64,f,UNKRACE,N,227586.88718219532
4,55-64,f,UNKRACE,E,59665.6084434328
4,55-64,f,UNKRACE,B,290117.97178356175
4,55-64,f,UNKRACE,S,11288.036910313362
4,55-64,f,UNKRACE,H,926.4220529470741
4,55-64,f,UNKRACE,R,113921.56696203894
4,55-64,f,UNKRACE,A,9428.342561604815
4,55-64,f,UNKRACE,D,46730.668975700544
4,55-64,f,UNKRACE,T,19387.7123746171
4,55-64,f,UNKRACE,X,3273.48015405646
4,55-64,f,UNKRACE,U,6289.138515650476
4,55-64,f,UNKRACE,P,16894.246202822324
4,55-64,f,UNKRACE,F,1820.2846625596696
4,UNDER65,f,UNKRACE,C,629962.028238726
4,UNDER65,f,UNKRACE,N,473897.78257825214
4,UNDER65,f,UNKRACE,E,110986.76712315241
4,UNDER65,f,UNKRACE,T,116226.30855395079
4,UNDER65,f,UNKRACE,U,19539.570356447297
4,UNDER65,f,UNKRACE,X,12875.70244149349
4,UNDER65,f,UNKRACE,B,522195.58650719165
4,UNDER65,f,UNKRACE,A,31233.668727113127
4,UNDER65,f,UNKRACE,R,198006.43087568076
4,UNDER65,f,UNKRACE,S,66036.90035114108
4,UNDER65,f,UNKRACE,D,98125.1981830495
4,UNDER65,f,UNKRACE,H,10910.001753803013
4,UNDER65,f,UNKRACE,P,117577.59287673704
4,UNDER65,f,UNKRACE,F,3568.4614330114227
1,35-44,m,UNKRACE,C,54666.0
1,35-44,m,UNKRACE,E,16123.0
1,35-44,m,UNKRACE,N,71845.0
1,35-44,m,UNKRACE,B,98675.0
1,35-44,m,UNKRACE,S,63363.0
1,35-44,m,UNKRACE,A,18934.0
1,35-44,m,UNKRACE,P,53987.0
1,35-44,m,UNKRACE,X,4537.0
1,35-44,m,UNKRACE,T,61942.0
1,35-44,m,UNKRACE,U,9754.0
1,35-44,m,UNKRACE,D,16264.0
1,35-44,m,UNKRACE,R,16169.0
1,35-44,m,UNKRACE,H,2011.0
1,35-44,m,UNKRACE,F,1225.0
1,ALL,m,UNKRACE,C,2683871.0
1,ALL,m,UNKRACE,S,458364.0
1,ALL,m,UNKRACE,N,2141044.0
1,ALL,m,UNKRACE,B,3921615.0
1,ALL,m,UNKRACE,E,422683.0
1,ALL,m,UNKRACE,D,355422.0
1,ALL,m,UNKRACE,T,412444.0
1,ALL,m,UNKRACE,R,1254402.0
1,ALL,m,UNKRACE,A,152837.0
1,ALL,m,UNKRACE,U,64967.0
1,ALL,m,UNKRACE,X,64904.0
1,ALL,m,UNKRACE,P,216548.0
1,ALL,m,UNKRACE,F,41125.0
1,ALL,m,UNKRACE,H,11699.0
1,UNDER65,m,UNKRACE,C,837537.0
1,UNDER65,m,UNKRACE,E,145002.0
1,UNDER65,m,UNKRACE,B,1008460.0
